Id	Text	Label
30399453_2	I can give you her Skype and she will answer all your questions .	noHate
13456898_1	I know exactly what you 're saying , I just hate to see those worthless apes benefit from the great things that whites do .	hate
13605248_8	Norway : 3.3 ( 2001 ) , 3.9 ( 2002 ) , 3.5 ( 2003 ) , 1.8 ( 2004 ) . ( assuming population of 4.5 million ) Sweden : 2.6 ( 2001 ) , 3.7 ( 2002 ) , 3.5 ( 2003 ) , 2.6 ( 2004 ) . ( assuming population of 8.9 million ) Iceland is at about 0.2 .	noHate
14101084_1	I used to enter horse competitions until I was thrown off one and broke my leg .	noHate
12849464_4	And the sad thing is the white students at those schools will act like that too .	hate
13586328_1	Now, young man !	noHate
13857781_1	During the early punk scene , he was always seen decked out in a Union flag blazer , then all a sudden , an instant nationality transplant .	noHate
30534328_2	Lying Marxists !	hate
14297733_2	Black and Asian immigrants who are coming in and those who were borne here and their breading patterns are the threat to our gene pool and not other white Europeans such as polish people .	hate
14030058_1	i used to post on here a few years back as kruger but for some reason i cant register with that name so here goes with the new one 88 to all i know and to those i will meet	noHate
30555057_2	Find other gardeners , wild plant enthusiasts , and fellow believers in your area who you can band with .	noHate
14413853_1	You do not have to wait for this law to pass since already you would be expelled from your school for doing the above under some sort of hostile school environment clause , as you would at most places of work .	noHate
13063290_1	That's all I needed to hear .	noHate
13868014_1	Latha math dhuibh agus dè tha dol agad fhèin , a Phàdruig/Hello Pat , how are you ?	noHate
13332658_1	Let mother nature evolve these people naturally because no amount of money or aid is going to drag these ' things ' into the civilized world where they serve absolutely no purpose .	hate
13455369_4	WE GOT MONEY AROUND HERE TOO Compton Crips Pt.1 - YouTube These negroes are in the middle of the street , seems like something of a zoo , playing with their cheap lowriders .	hate
13285245_1	May they just need to turn these savages loose , justice will take care of itself .	hate
14670222_1	Gay marriage has no place in any society , regardless of your race and culture.It destroys , morals , values , and the future of your offspring that will keep your race and culture alive.Regardless of your race and culture , homosexuality and gay marriage is the genocide of mankind .	hate
30679934_1	the kind of perversion that leads to homosexuality also leads to pedophilia. why take the risk , and even if the homosexuals turned out not to be pedophiles why would anyone want a child to live with two perverts .	hate
13299159_1	Perhaps I should walk back into my H.S. when it starts Monday and get on the P.A. system and say I want to tie all * * * * * * s to the back of my car and drag them across the ground till they die , and then say I 'm joking .	hate
14422121_1	I've followed Mr. Kievsky 's adventures through VNN for the last couple years .	noHate
13629257_1	More likely they 're afraid of having to marry and deal with a snotty GI-Jane-dyke , only to be dragged into court and have the kids and house taken a few years later .	noHate
14414465_3	http://www.abc25.com/Global/story.asp ? S = 5352185 Non whites commit far more crimes against whites each year but its never considered a hate crime and alot of them never spend any time in jail !	hate
14300900_3	When the non-whites come we should stand together and send em packing , like they do to us .	hate
30429569_1	Saul Kassin : `` False confessions '' https : //www.youtube.com/watch ? v = JDRRwFfJKkw The Vera Institute of Justice 's Neil A. Weiner Research Department Speaker Series presents Saul Kassin , Distinguished Professor of Psychology at John Jay College of Criminal Justice .	noHate
30507680_3	All we have is blacks and a few mestizos and all are pretty well behaved , we keep them that way around here	hate
31442389_3	And all those holes below 40,000 feet are filled with oil instead of water .	noHate
30623715_1	The idea that homeschooled kids do n't get socialized is ludicrous .	noHate
13512357_1	I caught this on youtube , I 'm sure someone has posted this at some point on here but it deserves reiteration .	noHate
